Do you prefer a structured or flexible work environment?,Are you more comfortable with a formal or casual work atmosphere?,How do you prefer to collaborate with colleagues?,Are you more productive when working independently or as part of a team?,"Do you prefer a hands-on, directive management style, or do you prefer more autonomy and freedom?",How do you respond to feedback and guidance from supervisors?,"How important is work-life balance to you, and what initiatives or policies do you appreciate in this regard?",What values do you prioritize in a workplace?,How important is it for you to work for a company that aligns with your personal values and beliefs?,What are your expectations regarding career development opportunities within a company?,"How do you respond to constructive feedback, and what type of feedback culture do you thrive in?",How do you prefer to celebrate successes and achievements in the workplace?,Company
Flexible,Casual,Face-to-face,Independently,Hands-on,Independence,Very important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Mphasis
Flexible,Casual,Combination,Independently,Autonomy,Independence,Not important,Innovation,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,LTIMindtree
Structured,Casual,Virtually,Part of a team,Hands-on,Independence,Not important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Wipro
Flexible,Formal,Face-to-face,Independently,Hands-on,Independence,Moderately important,Diversity and inclusivity,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Wipro
Structured,Casual,Face-to-face,Independently,Hands-on,Independence,Very important,Sustainability,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Microsoft
Flexible,Casual,Face-to-face,Independently,Hands-on,Regular check-ins,Not important,Sustainability,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,ZOHO
Structured,Casual,Face-to-face,Part of a team,Autonomy,Independence,Moderately important,Sustainability,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Wipro
Structured,Formal,Combination,Independently,Autonomy,Independence,Not important,Innovation,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Wipro
Structured,Formal,Face-to-face,Independently,Hands-on,Independence,Not important,Innovation,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Cognizant
Flexible,Casual,Combination,Part of a team,Autonomy,Independence,Moderately important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Microsoft
Flexible,Casual,Face-to-face,Part of a team,Hands-on,Regular check-ins,Not important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Cognizant
Flexible,Casual,Face-to-face,Independently,Autonomy,Regular check-ins,Not important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Microsoft
Flexible,Casual,Face-to-face,Independently,Hands-on,Independence,Very important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Promotion,Cognizant
Flexible,Casual,Combination,Independently,Hands-on,Independence,Very important,Sustainability,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,HCL Technologies
Flexible,Formal,Face-to-face,Part of a team,Hands-on,Regular check-ins,Not important,Innovation,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,Honeywell
Structured,Formal,Face-to-face,Independently,Autonomy,Independence,Not important,Innovation,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,TCS
Flexible,Casual,Combination,Independently,Hands-on,Independence,Not important,Sustainability,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Tech Mahindra
